"image_name","site","transect","boulder","cobble","green_algae_ulva","kelp_sugar","pebble","red_algae_branching","red_algae_filamentous","red_algae_flat_leaf","silt","kelp_bull_blade","kelp_five_rib","kelp_stipe","red_algae_bushy","unknown_area","Review","brown_algae_sargassum","red_algae_encrusting_CCA","sand_fine_shell","anthropogenic","kelp_holdfast","mobile_species","shell_hash","kelp_bryozoan","kelp_sieve","brown_algae_filamentous","green_algae_filamentous","combined_red_algae"
"2024_10_08_12-03-52.jpg","Centennial_Park",4,0.04,0.04,0.24,0.14,0.2,0,0.04,0.12,0.1,0,0,0,0,0.04,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0.16
"2024_10_08_12-04-01.jpg","Centennial_Park",4,0.06,0.02,0.3,0.12,0.06,0.1,0.04,0.16,0.04,0,0,0,0.02,0.06,0,0.02,0,0,0,0,0,0,0,0,0,0,0.32
"2024_10_08_12-04-10.jpg","Centennial_Park",4,0,0.02,0.36,0,0.2,0.02,0.06,0.16,0.12,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0.24
"2024_10_08_12-04-19.jpg","Centennial_Park",4,0.02,0.04,0.26,0.16,0.06,0.04,0.1,0.28,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0.42
"2024_10_08_12-04-28.jpg","Centennial_Park",4,0.02,0.06,0.7,0.1,0.08,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02
"2024_10_08_12-04-37.jpg","Centennial_Park",4,0.12,0.04,0.3,0.22,0.16,0,0.02,0.02,0.06,0,0,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.08
"2024_10_08_12-04-46.jpg","Centennial_Park",4,0,0.04,0.2,0.44,0.08,0,0.04,0,0.14,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0.02,0,0,0.04
"2024_10_08_12-04-55.jpg","Centennial_Park",4,0.02,0.04,0.24,0,0.26,0,0,0.26,0.1,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0.04,0.26
"2024_10_08_12-05-04.jpg","Centennial_Park",4,0,0.08,0.36,0.02,0.12,0,0,0.3,0.04,0,0,0,0.04,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0.34
"2024_10_08_12-05-13.jpg","Centennial_Park",4,0,0.02,0.1,0.2,0.16,0,0.06,0.1,0.08,0,0.14,0,0,0,0,0.12,0,0,0,0,0.02,0,0,0,0,0,0.16
"2024_10_08_12-05-22.jpg","Centennial_Park",4,0,0,0.38,0.18,0.28,0,0,0.02,0,0,0,0,0,0,0,0.1,0,0.04,0,0,0,0,0,0,0,0,0.02
"2024_10_08_12-05-31.jpg","Centennial_Park",4,0,0.08,0.66,0,0.1,0,0,0.12,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.14
"2024_10_08_12-05-40.jpg","Centennial_Park",4,0,0.02,0.4,0.32,0.06,0.04,0,0.1,0,0,0,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.16
"2024_10_08_12-05-49.jpg","Centennial_Park",4,0,0.1,0.3,0.36,0.08,0.04,0.02,0.04,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0.1
