"sum","SU","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,218,"2_1","2","1","2022_9_29_11-41-39_88.jpg",0.2,0.24,0.03,0.18,0.03,0,0.25,0,0,0,0,0,0,0,0.04,0,0,0,0
1,193,"2_1","2","1","2022_9_29_11-41-39_328.jpg",0.01,0.04,0.01,0,0.07,0,0.03,0.03,0,0,0,0,0.74,0,0.07,0,0,0,0
1,188,"2_1","2","1","2022_9_29_11-41-39_296.jpg",0.04,0.16,0,0,0.05,0,0.12,0,0,0,0.04,0,0.56,0,0.03,0,0,0,0
1,189,"2_1","2","1","2022_9_29_11-41-39_304.jpg",0.14,0.46,0,0.02,0.01,0,0.09,0.02,0,0,0,0,0,0,0.11,0,0,0,0.01
1,166,"2_1","2","1","2022_9_29_11-41-39_136.jpg",0.16,0.14,0.13,0.03,0,0,0.1,0.02,0,0,0,0.02,0.15,0,0.23,0,0,0,0.01
1,195,"2_1","2","1","2022_9_29_11-41-39_344.jpg",0.11,0.25,0,0.01,0.02,0,0.06,0,0,0,0,0,0.48,0,0.07,0,0,0,0
1,178,"2_1","2","1","2022_9_29_11-41-39_224.jpg",0.36,0.11,0.07,0.06,0,0,0.39,0,0,0,0,0,0,0,0.01,0,0,0,0
1,197,"2_1","2","1","2022_9_29_11-41-39_360.jpg",0.16,0.28,0,0.01,0,0,0.01,0.05,0,0,0,0,0.38,0,0.08,0,0,0,0
1,201,"2_1","2","1","2022_9_29_11-41-39_392.jpg",0.12,0.44,0.01,0.15,0,0,0.02,0,0,0,0.01,0,0.23,0,0.02,0,0,0,0
1,200,"2_1","2","1","2022_9_29_11-41-39_384.jpg",0.09,0.35,0.01,0.08,0,0,0.09,0.01,0,0,0,0,0.33,0,0.04,0,0,0,0
1,205,"2_1","2","1","2022_9_29_11-41-39_416.jpg",0.07,0.24,0.01,0.02,0,0,0.04,0,0,0,0,0,0.59,0,0.01,0,0,0,0
1,162,"2_1","2","1","2022_9_29_11-41-39_104.jpg",0.09,0.13,0,0.04,0,0,0.24,0,0,0,0.01,0,0.47,0,0.01,0,0,0,0
1,172,"2_1","2","1","2022_9_29_11-41-39_176.jpg",0.12,0.18,0.01,0.06,0,0,0.05,0.03,0,0,0,0.03,0.13,0,0.39,0,0,0,0
1,191,"2_1","2","1","2022_9_29_11-41-39_32.jpg",0.35,0.04,0.05,0.08,0,0,0.2,0.01,0,0,0,0.02,0.1,0,0.15,0,0,0,0
1,179,"2_1","2","1","2022_9_29_11-41-39_232.jpg",0.07,0.25,0.03,0.07,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0
1,181,"2_1","2","1","2022_9_29_11-41-39_240.jpg",0.05,0.18,0.01,0.3,0,0,0.37,0,0,0,0,0,0.02,0,0.07,0,0,0,0
1,199,"2_1","2","1","2022_9_29_11-41-39_376.jpg",0.16,0.34,0,0.03,0,0,0.08,0.04,0,0,0.01,0,0.1,0,0.12,0,0,0,0
1,212,"2_1","2","1","2022_9_29_11-41-39_48.jpg",0.2,0,0,0,0,0,0.54,0,0,0,0.01,0.04,0.01,0,0.19,0,0,0,0
1,215,"2_1","2","1","2022_9_29_11-41-39_72.jpg",0.26,0.02,0,0.03,0,0,0.25,0,0,0,0,0.01,0.21,0,0.22,0,0,0,0
1,180,"2_1","2","1","2022_9_29_11-41-39_24.jpg",0.32,0.03,0.05,0.16,0,0,0.22,0,0,0,0.01,0,0.04,0,0.13,0,0,0,0
