"key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
"2_1","2","1","2022_9_29_11-41-39_408.jpg",3,12,0,0,0,0,0,0,0,0,0,0,82,0,3,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_192.jpg",32,22,0,7,0,0,10,5,0,0,1,0,0,0,22,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_112.jpg",28,8,1,4,0,0,28,0,0,0,0,1,0,0,30,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_320.jpg",6,25,1,7,0,0,5,1,0,0,0,0,39,0,15,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_456.jpg",1,46,3,7,0,0,13,0,0,0,0,0,11,0,15,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_360.jpg",16,28,0,1,0,0,1,5,0,0,0,0,38,0,8,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_328.jpg",1,4,1,0,7,0,3,3,0,0,0,0,74,0,7,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_56.jpg",16,0,0,0,0,0,48,0,0,0,0,0,16,0,19,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_312.jpg",20,42,0,6,2,0,13,1,0,0,0,0,0,0,12,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_128.jpg",5,11,0,7,0,0,2,4,0,0,0,0,62,0,9,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_40.jpg",48,0,0,0,0,3,29,0,0,0,4,1,0,0,15,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_152.jpg",21,23,0,10,2,0,9,8,0,0,0,1,14,0,5,1,0,0,0
"2_1","2","1","2022_9_29_11-41-39_368.jpg",3,10,0,1,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_464.jpg",0,20,3,2,1,0,2,1,0,0,0,0,57,0,14,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_176.jpg",12,18,1,6,0,0,5,3,0,0,0,3,13,0,39,0,0,0,0
