"sum","SU","key","site","transect","img_name","MDS1","MDS2","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,125,"1_3","1","3","2022_10_06_14-23-32_152.jpg",-0.729711602884127,-0.247117590934537,0,8,8,2,0,0,8,0,0,0,54,2,0,0,0,0,4,0,0
1,148,"1_3","1","3","2022_10_06_14-23-32_40.jpg",-1.15604592283109,-0.162760337298523,0,0,24,0,0,0,0,0,4,0,36,2,0,0,0,0,0,0,0
1,134,"1_3","1","3","2022_10_06_14-23-32_216.jpg",-0.913113158565554,-0.34359363272644,0,2,8,4,2,0,0,0,0,0,64,4,0,0,0,0,0,2,0
1,151,"1_3","1","3","2022_10_06_14-23-32_64.jpg",-0.72013003425349,-0.223089762199826,0,16,12,2,0,0,2,0,0,0,52,2,0,0,2,0,0,0,0
1,155,"1_3","1","3","2022_10_06_14-23-32_88.jpg",-0.900930777677059,-0.490358630428395,0,8,2,2,0,0,0,0,0,0,86,0,0,0,2,0,0,0,0
1,146,"1_3","1","3","2022_10_06_14-23-32_32.jpg",-0.870880805985823,-0.354516475873354,0,10,8,4,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
1,143,"1_3","1","3","2022_10_06_14-23-32_280.jpg",-0.623317207500924,-0.0665923379148572,2,32,6,8,0,0,6,0,0,0,42,2,0,0,0,0,0,2,0
1,149,"1_3","1","3","2022_10_06_14-23-32_48.jpg",-0.397357495532271,-0.131054098500076,2,10,8,4,0,0,0,0,0,0,38,2,4,0,18,0,0,0,0
1,121,"1_3","1","3","2022_10_06_14-23-32_120.jpg",-0.86866290443533,-0.307045226412793,1,1,0,0,1,0,8,0,0,0,51,4,0,0,0,0,0,0,0
1,130,"1_3","1","3","2022_10_06_14-23-32_184.jpg",-0.505389076096358,-0.636988594251091,0,2,0,4,0,0,2,0,0,0,64,0,16,0,0,0,2,0,0
